unit_id,watershed_feature_id,fwa_watershed_code,gnis_name,area_ha
mission,12556,300-432687-797326-052554-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Priest Creek,2505.8
mission,12557,300-432687-797326-228602-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Klo Creek,4751.3
mission,12558,300-432687-797326-228602-426771-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Pooley Creek,2818.9
mission,12559,300-432687-797326-247439-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Hydraulic Creek,7937.7
mission,12560,300-432687-797326-339626-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Daves Creek,3529.8
mission,12565,300-432687-797326-494470-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Joe Rich Creek,4972.8
mission,12566,300-432687-797326-601055-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Pearson Creek,7327.4
mission,12567,300-432687-797326-636634-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,2149.1
mission,12568,300-432687-797326-874194-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Fish Hawk Creek,2491.2
mission,12569,300-432687-797326-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Mission Creek,9059.9
mission,12570,300-432687-797326-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Mission Creek,8622.0
mission,12571,300-432687-797326-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Mission Creek,4528.3
naramata,12534,300-432687-668498-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Naramata Creek,4180.5
penticton,12513,300-432687-637835-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Penticton Creek,6938.9
penticton,12514,300-432687-637835-547077-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Municipal Creek,2775.1
penticton,12515,300-432687-637835-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Penticton Creek,8289.8
powers,12548,300-432687-769621-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Powers Creek,8872.1
powers,12549,300-432687-769621-568208-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North Powers Creek,3406.1
powers,12550,300-432687-769621-647817-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,2252.9
shingle_incl_shatford,12506,300-432687-624482-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Shingle Creek,9001.3
shingle_incl_shatford,12507,300-432687-624482-311793-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Shatford Creek,9202.1
shingle_incl_shatford,12508,300-432687-624482-311793-191169-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Farleigh Creek,2446.8
